country,year,corpus_sub,total_tokens,reform_count,criticism_count,reform_score,criticism_score,net_score
albania,2021,A,1582,63,30,3.982300884955752,1.8963337547408345,2.0859671302149176
albania,2022,A,2060,101,63,4.902912621359223,3.058252427184466,1.8446601941747574
albania,2023,A,1760,88,59,5.0,3.3522727272727275,1.6477272727272725
albania,2024,B,1357,94,37,6.927044952100221,2.726602800294768,4.200442151805453
albania,2025,B,1612,109,52,6.761786600496277,3.225806451612903,3.5359801488833744
bosnia_and_herzegovina,2021,A,1648,62,48,3.762135922330097,2.912621359223301,0.849514563106796
bosnia_and_herzegovina,2022,A,2013,89,55,4.4212617983109785,2.73224043715847,1.6890213611525087
bosnia_and_herzegovina,2023,A,2328,114,67,4.896907216494846,2.8780068728522337,2.018900343642612
bosnia_and_herzegovina,2024,B,1362,72,45,5.286343612334802,3.303964757709251,1.982378854625551
bosnia_and_herzegovina,2025,B,1258,70,37,5.5643879173290935,2.941176470588235,2.6232114467408585
kosovo,2021,A,1593,65,58,4.080351537978657,3.640929064657878,0.43942247332077855
kosovo,2022,A,3739,224,115,5.990906659534636,3.0756886868146562,2.9152179727199794
kosovo,2023,A,1422,73,58,5.133614627285513,4.0787623066104075,1.0548523206751055
kosovo,2024,B,1370,104,42,7.591240875912408,3.065693430656934,4.525547445255475
kosovo,2025,B,1236,87,42,7.038834951456311,3.3980582524271843,3.6407766990291264
montenegro,2021,A,1701,67,62,3.93885949441505,3.6449147560258672,0.2939447383891829
montenegro,2022,A,1376,81,51,5.886627906976744,3.7063953488372094,2.1802325581395348
montenegro,2023,A,1898,87,60,4.5837723919915705,3.1612223393045316,1.422550052687039
montenegro,2024,B,1328,92,27,6.927710843373494,2.033132530120482,4.894578313253012
montenegro,2025,B,1898,123,60,6.480505795574289,3.1612223393045316,3.3192834562697575
north_macedonia,2021,A,1872,105,46,5.6089743589743595,2.4572649572649574,3.151709401709402
north_macedonia,2022,A,2077,137,63,6.596051998074145,3.033220991815118,3.562831006259027
north_macedonia,2023,A,1858,93,59,5.005382131324004,3.1754574811625407,1.8299246501614634
north_macedonia,2024,B,1250,70,32,5.6000000000000005,2.56,3.0400000000000005
north_macedonia,2025,B,1231,69,45,5.605199025182778,3.6555645816409426,1.9496344435418358
serbia,2021,A,1381,40,33,2.896451846488052,2.389572773352643,0.5068790731354089
serbia,2022,A,1744,68,36,3.89908256880734,2.064220183486239,1.834862385321101
serbia,2023,A,2106,74,56,3.513770180436847,2.6590693257359925,0.8547008547008543
serbia,2024,B,1230,58,36,4.715447154471545,2.9268292682926833,1.7886178861788617
serbia,2025,B,1483,67,45,4.517869184086312,3.034389750505732,1.4834794335805799
turkey,2021,A,2113,57,93,2.6975863700899194,4.401325130146711,-1.7037387600567917
turkey,2022,A,2358,105,101,4.4529262086514,4.283290924512299,0.16963528413910112
turkey,2023,A,3141,110,112,3.5020694046482013,3.565743393823623,-0.06367398917542166
turkey,2024,B,1092,73,45,6.684981684981685,4.1208791208791204,2.5641025641025648
turkey,2025,B,1257,65,41,5.171042163882259,3.261734287987271,1.9093078758949877
