country,year,criticism_hard_p1k,criticism_soft_p1k,severity_ratio
Albania,2019,1.4618,21.3927,0.0723
Albania,2020,1.2345,20.1961,0.0657
Albania,2021,1.2019,19.1759,0.0561
Albania,2022,1.2767,22.1027,0.0681
Albania,2023,1.547,25.5129,0.067
Albania,2024,1.3549,24.3694,0.0567
Albania,2025,2.0698,27.4993,0.0887
Bosnia And Herzegovina,2020,3.865,28.1994,0.183
Bosnia And Herzegovina,2021,3.8327,28.8028,0.1426
Bosnia And Herzegovina,2022,3.4687,27.8572,0.1653
Bosnia And Herzegovina,2023,3.1847,28.5308,0.1411
Bosnia And Herzegovina,2024,3.6849,30.9916,0.1766
Bosnia And Herzegovina,2025,4.0185,28.1223,0.1814
Georgia,2023,1.9634,19.6386,0.099
Georgia,2024,2.2605,21.2833,0.1218
Georgia,2025,5.0367,19.3497,0.2607
Kosovo,2019,3.3603,26.8971,0.1439
Kosovo,2020,3.2548,26.0755,0.1513
Kosovo,2021,3.202,26.4848,0.1366
Kosovo,2022,2.4514,25.3486,0.1186
Kosovo,2023,2.7931,24.6735,0.1311
Kosovo,2024,2.9985,25.4677,0.1359
Kosovo,2025,3.4635,28.4347,0.1247
Moldova,2023,1.862,14.9797,0.1232
Moldova,2024,2.0014,15.9302,0.1239
Moldova,2025,1.5789,19.4889,0.1039
Montenegro,2019,2.5233,23.0938,0.145
Montenegro,2020,2.3786,20.0836,0.1621
Montenegro,2021,2.3689,19.9615,0.1383
Montenegro,2022,2.4983,20.4733,0.1541
Montenegro,2023,2.1141,19.8449,0.1198
Montenegro,2024,2.0835,19.4092,0.1146
Montenegro,2025,2.5099,19.4178,0.1448
North Macedonia,2019,2.3257,23.9942,0.1213
North Macedonia,2020,2.2128,23.5349,0.1002
North Macedonia,2021,2.3837,22.0131,0.1393
North Macedonia,2022,1.998,22.7755,0.0918
North Macedonia,2023,2.3191,23.7348,0.1164
North Macedonia,2024,2.5009,23.9379,0.1173
North Macedonia,2025,3.2303,26.2616,0.1326
Serbia,2019,1.933,26.1159,0.0848
Serbia,2020,1.5501,23.5339,0.0704
Serbia,2021,1.4274,22.0958,0.0964
Serbia,2022,1.7504,22.5872,0.109
Serbia,2023,1.4139,22.9548,0.0895
Serbia,2024,1.986,22.3352,0.1216
Serbia,2025,2.0823,26.1813,0.0878
Turkiye,2019,3.7728,18.7558,0.166
Turkiye,2020,3.9101,20.7637,0.1811
Turkiye,2021,4.2401,21.0925,0.2273
Turkiye,2022,4.4763,23.0665,0.2435
Turkiye,2023,3.8066,22.2053,0.2013
Turkiye,2024,3.7228,20.4191,0.1884
Turkiye,2025,3.6546,22.1105,0.1621
Ukraine,2023,1.9871,16.0512,0.1342
Ukraine,2024,1.5419,20.4479,0.0666
Ukraine,2025,1.6841,22.843,0.0739
