country,year,reform_count,crit_count,word_count,ReformScore,CriticismScore,NetScore
albania,2019,541,117,57558,0.009399214705166963,0.0020327322005629107,0.007366482504604052
albania,2020,607,164,69763,0.008700887289824119,0.0023508163353066812,0.0063500709545174375
albania,2021,639,156,73788,0.008659944706456334,0.0021141649048625794,0.006545779801593755
albania,2022,610,148,68428,0.008914479452855556,0.0021628573098731512,0.006751622142982405
albania,2023,653,189,76908,0.008490664170177355,0.0024574816664066157,0.006033182503770739
albania,2024,501,138,48504,0.01032904502721425,0.0028451261751608115,0.007483918852053439
albania,2025,507,162,48915,0.01036491873658387,0.003311867525298988,0.007053051211284881
bosnia,2021,575,280,66670,0.008624568771561422,0.004199790010499475,0.004424778761061947
bosnia,2022,595,281,69942,0.008507048697492208,0.004017614594950101,0.004489434102542106
bosnia,2023,659,294,74974,0.008789713767439379,0.003921359404593592,0.0048683543628457865
bosnia,2024,415,189,47244,0.008784184235035136,0.004000508001016002,0.004783676234019134
bosnia,2025,437,181,47357,0.009227780475959204,0.0038220326456490064,0.005405747830310198
kosovo,2019,473,207,50213,0.009419871348057276,0.004122438412363332,0.005297432935693944
kosovo,2020,455,260,59002,0.007711602996508593,0.004406630283719196,0.0033049727127893976
kosovo,2021,494,249,60059,0.008225245175577349,0.004145923175544048,0.0040793220000333
kosovo,2022,577,235,66002,0.008742159328505196,0.0035604981667222207,0.005181661161782976
kosovo,2023,616,278,71781,0.008581658098939831,0.0038728911550410276,0.004708766943898803
kosovo,2024,423,160,44759,0.009450613284479098,0.0035747000603230635,0.005875913224156035
kosovo,2025,430,199,45886,0.009371049993462058,0.004336834764416162,0.005034215229045897
montenegro,2021,559,176,65558,0.008526800695567284,0.002684645657280576,0.005842155038286707
montenegro,2022,629,166,69776,0.009014560880531989,0.0023790415042421464,0.0066355193762898425
montenegro,2023,577,193,75686,0.0076236027799064555,0.0025500092487382078,0.005073593531168248
montenegro,2024,497,99,46153,0.0107685307563972,0.0021450393257209715,0.008623491430676228
montenegro,2025,554,121,51169,0.010826867830131525,0.0023647130098301706,0.008462154820301354
north,2021,569,157,59875,0.00950313152400835,0.0026221294363256787,0.006881002087682672
north,2022,606,172,61563,0.009843574874518786,0.0027938859379822295,0.007049688936536557
north,2023,598,206,67245,0.008892854487322478,0.003063424789947208,0.00582942969737527
north,2024,444,154,47803,0.009288119992469092,0.0032215551325230633,0.006066564859946029
north,2025,492,190,49798,0.009879914856018314,0.003815414273665609,0.006064500582352705
serbia,2021,665,161,74163,0.00896673543411135,0.002170893841942748,0.006795841592168601
serbia,2022,681,158,80057,0.008506439162097005,0.001973593814407235,0.00653284534768977
serbia,2023,682,212,89759,0.007598123865016322,0.0023618801457235485,0.005236243719292773
serbia,2024,457,111,48751,0.009374166683760333,0.002276876371766733,0.0070972903119936
serbia,2025,507,179,53566,0.009464959115857074,0.0033416719560915506,0.0061232871597655236
turkey,2021,438,275,69027,0.006345343126602634,0.003983948310081562,0.0023613948165210714
turkey,2022,487,311,71811,0.006781690827310579,0.004330812828118255,0.002450877999192324
turkey,2023,443,299,75022,0.005904934552531257,0.00398549758737437,0.0019194369651568876
turkey,2024,331,162,45705,0.007242096050760311,0.0035444699704627503,0.0036976260802975606
turkey,2025,348,183,53177,0.006544182635349869,0.0034413374203132933,0.0031028452150365757
