country,country_slug,year,filename,report_page,pdf_url,status
Albania,albania,2025,albania-report-2025.pdf,https://enlargement.ec.europa.eu/albania-report-2025_en,https://enlargement.ec.europa.eu/document/download/fe9138b7-90fe-4277-a12c-3a03f6d1957f_en?filename=albania-report-2025.pdf,downloaded
Albania,albania,2024,albania-report-2024.pdf,https://enlargement.ec.europa.eu/albania-report-2024_en,https://enlargement.ec.europa.eu/document/download/a8eec3f9-b2ec-4cb1-8748-9058854dbc68_en?filename=Albania%20Report%202024.pdf,downloaded
Albania,albania,2023,albania-report-2023.pdf,https://enlargement.ec.europa.eu/albania-report-2023_en,https://enlargement.ec.europa.eu/document/download/ea0a4b05-683f-4b9c-b7ff-4615a5fffd0b_en?filename=SWD_2023_690%20Albania%20report.pdf,downloaded
Albania,albania,2022,albania-report-2022.pdf,https://enlargement.ec.europa.eu/albania-report-2022_en,https://enlargement.ec.europa.eu/document/download/dde85556-8061-41f3-ba0c-5e921158bc53_en?filename=Albania%20Report%202022.pdf,downloaded
Albania,albania,2021,albania-report-2021.pdf,https://enlargement.ec.europa.eu/albania-report-2021_en,https://enlargement.ec.europa.eu/document/download/7532fb68-5bd9-4620-ae9c-1df47d34b919_en?filename=Albania-Report-2021.pdf,downloaded
Albania,albania,2020,albania-report-2020.pdf,https://enlargement.ec.europa.eu/albania-report-2020_en,https://enlargement.ec.europa.eu/document/download/3ec7d672-3faf-447d-a2e7-862682d8f709_en?filename=albania_report_2020.pdf,downloaded
Albania,albania,2019,albania-report-2019.pdf,https://enlargement.ec.europa.eu/albania-report-2019_en,https://enlargement.ec.europa.eu/document/download/d14ab736-12ef-4892-bf95-51d7de7a2840_en?filename=20190529-albania-report.pdf,downloaded
Bosnia and Herzegovina,bosnia-and-herzegovina,2025,bosnia-and-herzegovina-report-2025.pdf,https://enlargement.ec.europa.eu/bosnia-and-herzegovina-report-2025_en,https://enlargement.ec.europa.eu/document/download/5d8fc547-f8f8-456f-84e3-b38998acfafd_en?filename=bosnia-and-herzegovina-report-2025.pdf,downloaded
Bosnia and Herzegovina,bosnia-and-herzegovina,2024,bosnia-and-herzegovina-report-2024.pdf,https://enlargement.ec.europa.eu/bosnia-and-herzegovina-report-2024_en,https://enlargement.ec.europa.eu/document/download/451db011-6779-40ea-b34b-a0eeda451746_en?filename=Bosnia%20and%20Herzegovina%20Report%202024.pdf,downloaded
Bosnia and Herzegovina,bosnia-and-herzegovina,2023,bosnia-and-herzegovina-report-2023.pdf,https://enlargement.ec.europa.eu/bosnia-and-herzegovina-report-2023_en,https://enlargement.ec.europa.eu/document/download/e3045ec9-f2fc-45c8-a97f-58a2d9b9945a_en?filename=SWD_2023_691%20Bosnia%20and%20Herzegovina%20report.pdf,downloaded
Bosnia and Herzegovina,bosnia-and-herzegovina,2022,bosnia-and-herzegovina-report-2022.pdf,https://enlargement.ec.europa.eu/bosnia-and-herzegovina-report-2022_en,https://enlargement.ec.europa.eu/document/download/a113b381-3389-4be7-95b2-a4fb91c8c243_en?filename=Bosnia%20and%20Herzegovina%20Report%202022.pdf,downloaded
Bosnia and Herzegovina,bosnia-and-herzegovina,2021,bosnia-and-herzegovina-report-2021.pdf,https://enlargement.ec.europa.eu/bosnia-and-herzegovina-report-2021_en,https://enlargement.ec.europa.eu/document/download/b20c3204-68d0-47e7-b344-5e2562a3adce_en?filename=Bosnia%20and%20Herzegovina%202021%20report.PDF,downloaded
Bosnia and Herzegovina,bosnia-and-herzegovina,2020,bosnia-and-herzegovina-report-2020.pdf,https://enlargement.ec.europa.eu/bosnia-and-herzegovina-report-2020_en,https://enlargement.ec.europa.eu/document/download/f28c86d0-25e4-454b-9949-bd9470686073_en?filename=bosnia_and_herzegovina_report_2020.pdf,downloaded
Bosnia and Herzegovina,bosnia-and-herzegovina,2019,bosnia-and-herzegovina-report-2019.pdf,https://enlargement.ec.europa.eu/bosnia-and-herzegovina-report-2019_en,,missing
Georgia,georgia,2025,georgia-report-2025.pdf,https://enlargement.ec.europa.eu/georgia-report-2025_en,https://enlargement.ec.europa.eu/document/download/b3089ad4-26be-4c6a-84cc-b9d680fe0a48_en?filename=georgia-report-2025.pdf,downloaded
Georgia,georgia,2024,georgia-report-2024.pdf,https://enlargement.ec.europa.eu/georgia-report-2024_en,https://enlargement.ec.europa.eu/document/download/7b6ed47c-ecde-41a2-99ea-41683dc2d1bd_en?filename=Georgia%20Report%202024.pdf,downloaded
Georgia,georgia,2023,georgia-report-2023.pdf,https://enlargement.ec.europa.eu/georgia-report-2023_en,https://enlargement.ec.europa.eu/document/download/388e01b7-e283-4bc9-9d0a-5600ea49eda9_en?filename=SWD_2023_697%20Georgia%20report.pdf,downloaded
Georgia,georgia,2022,georgia-report-2022.pdf,https://enlargement.ec.europa.eu/georgia-report-2022_en,,missing
Georgia,georgia,2021,georgia-report-2021.pdf,https://enlargement.ec.europa.eu/georgia-report-2021_en,,missing
Georgia,georgia,2020,georgia-report-2020.pdf,https://enlargement.ec.europa.eu/georgia-report-2020_en,,missing
Georgia,georgia,2019,georgia-report-2019.pdf,https://enlargement.ec.europa.eu/georgia-report-2019_en,,missing
Kosovo,kosovo,2025,kosovo-report-2025.pdf,https://enlargement.ec.europa.eu/kosovo-report-2025_en,https://enlargement.ec.europa.eu/document/download/127563ea-4c03-44a4-b56c-2d569afd86a5_en?filename=kosovo-report-2025.pdf,downloaded
Kosovo,kosovo,2024,kosovo-report-2024.pdf,https://enlargement.ec.europa.eu/kosovo-report-2024_en,https://enlargement.ec.europa.eu/document/download/c790738e-4cf6-4a43-a8a9-43c1b6f01e10_en?filename=Kosovo%20Report%202024.pdf,downloaded
Kosovo,kosovo,2023,kosovo-report-2023.pdf,https://enlargement.ec.europa.eu/kosovo-report-2023_en,https://enlargement.ec.europa.eu/document/download/760aacca-4e88-4667-8792-3ed08cdd65c3_en?filename=SWD_2023_692%20Kosovo%20report_0.pdf,downloaded
Kosovo,kosovo,2022,kosovo-report-2022.pdf,https://enlargement.ec.europa.eu/kosovo-report-2022_en,https://enlargement.ec.europa.eu/document/download/1f855852-bfa9-4e7b-9f69-cd76127cade3_en?filename=Kosovo%20Report%202022.pdf,downloaded
Kosovo,kosovo,2021,kosovo-report-2021.pdf,https://enlargement.ec.europa.eu/kosovo-report-2021_en,https://enlargement.ec.europa.eu/document/download/ec34a067-8477-4adc-a123-054b7d62abc4_en?filename=Kosovo%202021%20report.PDF,downloaded
Kosovo,kosovo,2020,kosovo-report-2020.pdf,https://enlargement.ec.europa.eu/kosovo-report-2020_en,https://enlargement.ec.europa.eu/document/download/a7d0f458-6c46-4349-a058-ad3f4ca63e23_en?filename=kosovo_report_2020.pdf,downloaded
Kosovo,kosovo,2019,kosovo-report-2019.pdf,https://enlargement.ec.europa.eu/kosovo-report-2019_en,https://enlargement.ec.europa.eu/document/download/85bb4cd1-fbe1-47b3-8914-7f606f1ede37_en?filename=20190529-kosovo-report.pdf,downloaded
Moldova,moldova,2025,moldova-report-2025.pdf,https://enlargement.ec.europa.eu/moldova-report-2025_en,https://enlargement.ec.europa.eu/document/download/23fa6af0-89b3-4532-a3d9-d1638727d14c_en?filename=moldova-report-2025.pdf,downloaded
Moldova,moldova,2024,moldova-report-2024.pdf,https://enlargement.ec.europa.eu/moldova-report-2024_en,https://enlargement.ec.europa.eu/document/download/858717b3-f8ef-4514-89fe-54a6aa15ef69_en?filename=Moldova%20Report%202024.pdf,downloaded
Moldova,moldova,2023,moldova-report-2023.pdf,https://enlargement.ec.europa.eu/moldova-report-2023_en,https://enlargement.ec.europa.eu/document/download/d8ef3ca9-2191-46e7-b9b8-946363f6db91_en?filename=SWD_2023_698%20Moldova%20report.pdf,downloaded
Moldova,moldova,2022,moldova-report-2022.pdf,https://enlargement.ec.europa.eu/moldova-report-2022_en,,missing
Moldova,moldova,2021,moldova-report-2021.pdf,https://enlargement.ec.europa.eu/moldova-report-2021_en,,missing
Moldova,moldova,2020,moldova-report-2020.pdf,https://enlargement.ec.europa.eu/moldova-report-2020_en,,missing
Moldova,moldova,2019,moldova-report-2019.pdf,https://enlargement.ec.europa.eu/moldova-report-2019_en,,missing
Montenegro,montenegro,2025,montenegro-report-2025.pdf,https://enlargement.ec.europa.eu/montenegro-report-2025_en,https://enlargement.ec.europa.eu/document/download/9ae69ea7-81d6-4d6a-a204-bd32a379d51d_en?filename=montenegro-report-2025.pdf,downloaded
Montenegro,montenegro,2024,montenegro-report-2024.pdf,https://enlargement.ec.europa.eu/montenegro-report-2024_en,https://enlargement.ec.europa.eu/document/download/a41cf419-5473-4659-a3f3-af4bc8ed243b_en?filename=Montenegro%20Report%202024.pdf,downloaded
Montenegro,montenegro,2023,montenegro-report-2023.pdf,https://enlargement.ec.europa.eu/montenegro-report-2023_en,https://enlargement.ec.europa.eu/document/download/e09b27af-427a-440b-a47a-ed5254aec169_en?filename=SWD_2023_694%20Montenegro%20report.pdf,downloaded
Montenegro,montenegro,2022,montenegro-report-2022.pdf,https://enlargement.ec.europa.eu/montenegro-report-2022_en,https://enlargement.ec.europa.eu/document/download/927a32f7-609f-401a-970e-831eee3abd33_en?filename=Montenegro%20Report%202022.pdf,downloaded
Montenegro,montenegro,2021,montenegro-report-2021.pdf,https://enlargement.ec.europa.eu/montenegro-report-2021_en,https://enlargement.ec.europa.eu/document/download/6d45cc87-9d19-4f06-a49f-e3690cde3da4_en?filename=Montenegro%202021%20report.PDF,downloaded
Montenegro,montenegro,2020,montenegro-report-2020.pdf,https://enlargement.ec.europa.eu/montenegro-report-2020_en,https://enlargement.ec.europa.eu/document/download/a44e633d-cd16-444b-903a-8f97e66ce86d_en?filename=montenegro_report_2020.pdf,downloaded
Montenegro,montenegro,2019,montenegro-report-2019.pdf,https://enlargement.ec.europa.eu/montenegro-report-2019_en,https://enlargement.ec.europa.eu/document/download/e5f886d9-191e-46fc-aac8-3fd7912735f8_en?filename=20190529-montenegro-report.pdf,downloaded
North Macedonia,north-macedonia,2025,north-macedonia-report-2025.pdf,https://enlargement.ec.europa.eu/north-macedonia-report-2025_en,https://enlargement.ec.europa.eu/document/download/267b368e-6b55-4a42-bb72-6395593de4da_en?filename=north-macedonia-report-2025.pdf,downloaded
North Macedonia,north-macedonia,2024,north-macedonia-report-2024.pdf,https://enlargement.ec.europa.eu/north-macedonia-report-2024_en,https://enlargement.ec.europa.eu/document/download/5f0c9185-ce46-46fc-bf44-82318ab47e88_en?filename=North%20Macedonia%20Report%202024.pdf,downloaded
North Macedonia,north-macedonia,2023,north-macedonia-report-2023.pdf,https://enlargement.ec.europa.eu/north-macedonia-report-2023_en,https://enlargement.ec.europa.eu/document/download/28a9322a-3f18-434e-89d2-0890c90b2f96_en?filename=SWD_2023_693%20North%20Macedonia%20report.pdf,downloaded
North Macedonia,north-macedonia,2022,north-macedonia-report-2022.pdf,https://enlargement.ec.europa.eu/north-macedonia-report-2022_en,https://enlargement.ec.europa.eu/document/download/48ba61f0-41ae-4cff-9517-29fac190f4bd_en?filename=North%20Macedonia%20Report%202022.pdf,downloaded
North Macedonia,north-macedonia,2021,north-macedonia-report-2021.pdf,https://enlargement.ec.europa.eu/north-macedonia-report-2021_en,https://enlargement.ec.europa.eu/document/download/724722a9-240b-4001-abce-648e0c96f88b_en?filename=North-Macedonia-Report-2021.pdf,downloaded
North Macedonia,north-macedonia,2020,north-macedonia-report-2020.pdf,https://enlargement.ec.europa.eu/north-macedonia-report-2020_en,https://enlargement.ec.europa.eu/document/download/ab07a63e-6024-4231-a649-999df023dab8_en?filename=north_macedonia_report_2020.pdf,downloaded
North Macedonia,north-macedonia,2019,north-macedonia-report-2019.pdf,https://enlargement.ec.europa.eu/north-macedonia-report-2019_en,https://enlargement.ec.europa.eu/document/download/761d0203-d580-4c77-b936-8e3cd61326d1_en?filename=20190529-north-macedonia-report.pdf,downloaded
Serbia,serbia,2025,serbia-report-2025.pdf,https://enlargement.ec.europa.eu/serbia-report-2025_en,https://enlargement.ec.europa.eu/document/download/6e68ce26-b95b-48e1-921a-c60c12da8f00_en?filename=serbia-report-2025.pdf,downloaded
Serbia,serbia,2024,serbia-report-2024.pdf,https://enlargement.ec.europa.eu/serbia-report-2024_en,https://enlargement.ec.europa.eu/document/download/3c8c2d7f-bff7-44eb-b868-414730cc5902_en?filename=Serbia%20Report%202024.pdf,downloaded
Serbia,serbia,2023,serbia-report-2023.pdf,https://enlargement.ec.europa.eu/serbia-report-2023_en,https://enlargement.ec.europa.eu/document/download/9198cd1a-c8c9-4973-90ac-b6ba6bd72b53_en?filename=SWD_2023_695_Serbia.pdf,downloaded
Serbia,serbia,2022,serbia-report-2022.pdf,https://enlargement.ec.europa.eu/serbia-report-2022_en,https://enlargement.ec.europa.eu/document/download/d87e4167-65fd-42b0-8ede-7fa05c3d9355_en?filename=Serbia%20Report%202022.pdf,downloaded
Serbia,serbia,2021,serbia-report-2021.pdf,https://enlargement.ec.europa.eu/serbia-report-2021_en,https://enlargement.ec.europa.eu/document/download/fbe0f0b7-d8ff-4b89-a4ed-af5ccd289470_en?filename=Serbia-Report-2021.pdf,downloaded
Serbia,serbia,2020,serbia-report-2020.pdf,https://enlargement.ec.europa.eu/serbia-report-2020_en,https://enlargement.ec.europa.eu/document/download/f531fc4d-185d-4ada-b1bf-8fecf305c0d4_en?filename=serbia_report_2020.pdf,downloaded
Serbia,serbia,2019,serbia-report-2019.pdf,https://enlargement.ec.europa.eu/serbia-report-2019_en,https://enlargement.ec.europa.eu/document/download/d4942ea8-7af6-47ab-9db0-b081190fe9b0_en?filename=20190529-serbia-report.pdf,downloaded
Türkiye,turkiye,2025,turkiye-report-2025.pdf,https://enlargement.ec.europa.eu/turkiye-report-2025_en,https://enlargement.ec.europa.eu/document/download/4bb4ddd1-4f20-4ee0-92db-926996ec8dd1_en?filename=t%C3%BCrkiye-report-2025.pdf,downloaded
Türkiye,turkiye,2024,turkiye-report-2024.pdf,https://enlargement.ec.europa.eu/turkiye-report-2024_en,https://enlargement.ec.europa.eu/document/download/8010c4db-6ef8-4c85-aa06-814408921c89_en?filename=T%C3%BCrkiye%20Report%202024.pdf,downloaded
Türkiye,turkiye,2023,turkiye-report-2023.pdf,https://enlargement.ec.europa.eu/turkiye-report-2023_en,https://enlargement.ec.europa.eu/document/download/eb90aefd-897b-43e9-8373-bf59c239217f_en?filename=SWD_2023_696%20T%C3%BCrkiye%20report.pdf,downloaded
Türkiye,turkiye,2022,turkiye-report-2022.pdf,https://enlargement.ec.europa.eu/turkiye-report-2022_en,https://enlargement.ec.europa.eu/document/download/ccedfba1-0ea4-4220-9f94-ae50c7fd0302_en?filename=T%C3%BCrkiye%20Report%202022.pdf,downloaded
Türkiye,turkiye,2021,turkiye-report-2021.pdf,https://enlargement.ec.europa.eu/turkiye-report-2021_en,https://enlargement.ec.europa.eu/document/download/892a5e42-448a-47b8-bf62-b22d52c4ba26_en?filename=Turkey%202021%20report.PDF,downloaded
Türkiye,turkiye,2020,turkiye-report-2020.pdf,https://enlargement.ec.europa.eu/turkiye-report-2020_en,https://enlargement.ec.europa.eu/document/download/f4b4f445-6f09-4130-95bc-04b1df4e8f46_en?filename=turkey_report_2020.pdf,downloaded
Türkiye,turkiye,2019,turkiye-report-2019.pdf,https://enlargement.ec.europa.eu/turkiye-report-2019_en,https://enlargement.ec.europa.eu/document/download/954941b5-87e8-4b22-b1e4-ceb2762a33b0_en?filename=20190529-turkey-report.pdf,downloaded
Ukraine,ukraine,2025,ukraine-report-2025.pdf,https://enlargement.ec.europa.eu/ukraine-report-2025_en,https://enlargement.ec.europa.eu/document/download/17115494-8122-4d10-8a06-2cf275eecde7_en?filename=ukraine-report-2025.pdf,downloaded
Ukraine,ukraine,2024,ukraine-report-2024.pdf,https://enlargement.ec.europa.eu/ukraine-report-2024_en,https://enlargement.ec.europa.eu/document/download/1924a044-b30f-48a2-99c1-50edeac14da1_en?filename=Ukraine%20Report%202024.pdf,downloaded
Ukraine,ukraine,2023,ukraine-report-2023.pdf,https://enlargement.ec.europa.eu/ukraine-report-2023_en,https://enlargement.ec.europa.eu/document/download/bb61ea6d-dda6-4117-9347-a7191ecefc3f_en?filename=SWD_2023_699%20Ukraine%20report.pdf,downloaded
Ukraine,ukraine,2022,ukraine-report-2022.pdf,https://enlargement.ec.europa.eu/ukraine-report-2022_en,,missing
Ukraine,ukraine,2021,ukraine-report-2021.pdf,https://enlargement.ec.europa.eu/ukraine-report-2021_en,,missing
Ukraine,ukraine,2020,ukraine-report-2020.pdf,https://enlargement.ec.europa.eu/ukraine-report-2020_en,,missing
Ukraine,ukraine,2019,ukraine-report-2019.pdf,https://enlargement.ec.europa.eu/ukraine-report-2019_en,,missing
